Avg EMG - Pod01,Avg EMG - Pod02,Avg EMG - Pod03,Avg EMG - Pod04,Avg EMG - Pod05,Avg EMG - Pod06,Avg EMG - Pod07,Avg EMG - Pod08,
5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,
5,5,5,5,5,5,5,5,
3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,
2,2,2,2,2,2,2,2,
1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,
1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,
1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,
1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,
1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,
3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,
3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,
3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,
3,8,3,8,3,8,3,8,3,8,3,8,3,8,3,8,
3,3,3,3,3,3,3,3,
2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,
1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,
2,2,2,2,2,2,2,2,
2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,
2,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,
2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,
2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,3,3,3,3,3,3,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
5,5,5,5,5,5,5,5,
5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,
5,8,5,8,5,8,5,8,5,8,5,8,5,8,5,8,
4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,
2,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,
2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,
2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,
3,8,3,8,3,8,3,8,3,8,3,8,3,8,3,8,
4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,
5,5,5,5,5,5,5,5,
8,8,8,8,8,8,8,8,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
5,5,5,5,5,5,5,5,
5,8,5,8,5,8,5,8,5,8,5,8,5,8,5,8,
