Avg EMG - Pod01,Avg EMG - Pod02,Avg EMG - Pod03,Avg EMG - Pod04,Avg EMG - Pod05,Avg EMG - Pod06,Avg EMG - Pod07,Avg EMG - Pod08,Start Timestamp
24,2,32,8,6,46,4,19,12,2,5,6,52,6,2020-10-21 18:12:46.661
34,6,45,9,51,8,19,8,17,6,11,6,48,8,2020-10-21 18:12:46.730
36,6,33,8,7,8,38,2,31,29,6,23,37,6,2020-10-21 18:12:46.744
47,6,29,8,9,6,29,4,46,44,2,36,8,26,4,2020-10-21 18:12:46.766
58,6,25,8,11,4,20,6,61,58,8,50,6,24,4,2020-10-21 18:12:46.775
57,6,38,8,22,31,8,73,2,63,4,64,2,16,6,2020-10-21 18:12:46.786
48,8,43,32,2,51,73,63,2,69,4,23,2020-10-21 18:12:46.841
50,2,43,2,38,2,68,64,2,48,2,55,6,26,6,2020-10-21 18:12:46.894
38,55,6,39,6,86,46,2,33,45,36,6,2020-10-21 18:12:46.911
32,4,57,6,50,8,106,4,32,17,2,34,8,32,8,2020-10-21 18:12:46.933
38,4,52,2,42,4,98,4,23,8,13,2,20,8,42,2020-10-21 18:12:46.944
38,36,8,33,8,99,4,23,6,10,8,10,39,8,2020-10-21 18:12:46.956
26,38,6,25,8,94,6,20,8,25,16,6,36,2,2020-10-21 18:12:46.967
30,4,31,23,76,22,26,14,8,25,8,2020-10-21 18:12:46.980
27,2,30,2,8,6,54,21,2,26,4,10,4,29,2020-10-21 18:12:46.999
21,4,18,6,9,2,45,6,17,6,26,10,6,23,6,2020-10-21 18:12:47.019
20,4,20,6,14,6,22,4,18,2,27,15,19,2,2020-10-21 18:12:47.035
23,4,17,2,14,8,9,4,11,4,12,10,4,20,8,2020-10-21 18:12:47.049
17,8,16,8,24,4,8,6,10,6,13,8,15,4,20,8,2020-10-21 18:12:47.060
12,18,4,28,8,12,8,7,4,12,4,22,16,2020-10-21 18:12:47.069
10,18,4,27,6,9,6,5,12,23,8,12,8,2020-10-21 18:12:47.093
12,6,16,6,30,6,7,6,4,2,8,8,19,6,11,6,2020-10-21 18:12:47.099
6,4,20,30,8,10,4,3,8,9,2,18,8,8,6,2020-10-21 18:12:47.108
6,17,6,21,13,8,2,6,6,2,13,6,8,8,2020-10-21 18:12:47.116
8,4,13,6,24,2,10,4,2,2,7,6,7,2,4,8,2020-10-21 18:12:47.123
10,12,4,28,8,9,2,0,6,7,5,5,4,2020-10-21 18:12:47.131
7,4,14,6,23,12,2,1,8,9,4,8,6,5,4,2020-10-21 18:12:47.139
10,8,27,8,22,8,10,4,3,8,9,9,7,8,2020-10-21 18:12:47.146
12,26,4,23,8,8,4,8,10,6,17,4,6,8,2020-10-21 18:12:47.163
10,8,25,6,19,9,6,4,9,6,17,6,7,6,2020-10-21 18:12:47.170
14,6,31,12,10,4,8,2,8,8,18,7,6,2020-10-21 18:12:47.178
16,4,34,11,7,2,7,4,8,8,17,8,6,2020-10-21 18:12:47.185
